2026-05-15 00:15:20,947 | INFO     | location_host | ==================================================
2026-05-15 00:15:20,949 | INFO     | location_host | 位置接收服务器启动
2026-05-15 00:15:20,951 | INFO     | location_host | 数据目录: D:\projects\toy\MCP\location_host\data
2026-05-15 00:15:20,951 | INFO     | location_host | 日志目录: D:\projects\toy\MCP\location_host\logs
2026-05-15 00:15:20,951 | INFO     | location_host | API 地址: http://0.0.0.0:5000/api/location
2026-05-15 00:15:20,952 | INFO     | location_host | ==================================================
2026-05-15 00:15:20,952 | INFO     | uvicorn.error | Will watch for changes in these directories: ['D:\\projects\\toy\\MCP']
2026-05-15 00:15:20,952 | INFO     | uvicorn.error | Will watch for changes in these directories: ['D:\\projects\\toy\\MCP']
2026-05-15 00:15:20,952 | INFO     | uvicorn.error | Will watch for changes in these directories: ['D:\\projects\\toy\\MCP']
2026-05-15 00:15:20,953 | INFO     | uvicorn.error | Uvicorn running on http://0.0.0.0:5000 (Press CTRL+C to quit)
2026-05-15 00:15:20,953 | INFO     | uvicorn.error | Uvicorn running on http://0.0.0.0:5000 (Press CTRL+C to quit)
2026-05-15 00:15:20,953 | INFO     | uvicorn.error | Uvicorn running on http://0.0.0.0:5000 (Press CTRL+C to quit)
2026-05-15 00:15:20,953 | INFO     | uvicorn.error | Started reloader process [27104] using StatReload
2026-05-15 00:15:20,953 | INFO     | uvicorn.error | Started reloader process [27104] using StatReload
2026-05-15 00:15:20,953 | INFO     | uvicorn.error | Started reloader process [27104] using StatReload
2026-05-15 00:16:02,900 | INFO     | uvicorn.error | Stopping reloader process [27104]
2026-05-15 00:16:02,900 | INFO     | uvicorn.error | Stopping reloader process [27104]
2026-05-15 00:16:02,900 | INFO     | uvicorn.error | Stopping reloader process [27104]
2026-05-15 00:17:26,714 | INFO     | location_host | ==================================================
2026-05-15 00:17:26,715 | INFO     | location_host | 位置接收服务器启动
2026-05-15 00:17:26,715 | INFO     | location_host | 数据目录: D:\projects\toy\MCP\location_host\data
2026-05-15 00:17:26,715 | INFO     | location_host | 日志目录: D:\projects\toy\MCP\location_host\logs
2026-05-15 00:17:26,715 | INFO     | location_host | API 地址: http://0.0.0.0:5000/api/location
2026-05-15 00:17:26,715 | INFO     | location_host | ==================================================
2026-05-15 00:17:26,715 | INFO     | uvicorn.error | Will watch for changes in these directories: ['D:\\projects\\toy\\MCP']
2026-05-15 00:17:26,715 | INFO     | uvicorn.error | Uvicorn running on http://0.0.0.0:5000 (Press CTRL+C to quit)
2026-05-15 00:17:26,715 | INFO     | uvicorn.error | Started reloader process [10952] using StatReload
2026-05-15 00:17:40,634 | INFO     | uvicorn.error | Stopping reloader process [10952]
